,Initial Solution,Moves,OFIS,OFFS,OF_Diff,Improvement,Label
49,D0 C26 C25 D0 D0 C24 C6 D0 D0 C91 D0 D0 C50 D0 D0 C81 S20 C85 C90 D0 D0 C21 C18 C15 S7 D0 D0 C2 C100 S3 D0 D0 C9 S7 C16 S7 D0 D0 C97 S3 D0 D0 C39 S12 C32 D0 D0 C94 S4 D0 D0 C58 S16 C61 C65 D0 D0 C82 C73 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ProximityBasedDestroyCustomer, GreedyRepairCustomer",16249.43924,16221.64776,27.79148162,Medium,3
64,D0 C21 C25 C24 D0 D0 C50 D0 D0 C81 S1 C85 C90 D0 D0 C18 C15 S7 D0 D0 C2 S3 C91 D0 D0 C6 C9 S7 C16 S7 D0 D0 C100 S3 D0 D0 C26 C39 S12 C32 D0 D0 C94 S4 C97 D0 D0 C58 S16 C61 C65 D0 D0 C82 C73 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, WorstTimeDestroyCustomer, GreedyRepairCustomer",14991.37565,13775.89995,1215.475703,Lot,4
79,D0 C81 S1 C85 C90 D0 D0 C18 C15 C16 S7 D0 D0 C91 D0 D0 C6 C9 S7 S7 D0 D0 C2 C100 S3 D0 D0 C21 C26 C25 C39 S12 C32 C24 D0 D0 C94 S4 C97 D0 D0 C50 C58 S16 C61 C65 D0 D0 C82 C73 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, RandomRouteDestroyCustomer, GreedyRepairCustomer",11347.28909,11335.31474,11.97434335,Medium,3
169,D0 C50 S11 D0 D0 C90 C91 C82 S20 C81 D0 D0 C18 C15 C16 S7 D0 D0 C9 C6 D0 D0 C21 C26 S7 D0 D0 C2 C100 C97 C94 S3 D0 D0 C25 C24 C39 S12 C32 D0 D0 C65 C61 S16 C58 D0 D0 C73 S20 C85 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, GreedyDestroyCustomer, GreedyRepairCustomer",11388.61563,11375.96048,12.65515201,Medium,3
199,D0 C50 D0 D0 C90 C91 C82 S20 C81 D0 D0 C18 C15 C16 S7 D0 D0 C26 S7 D0 D0 C9 C6 C2 C94 C97 C100 S3 D0 D0 C21 C25 C39 S12 C32 C24 D0 D0 C65 C61 S16 C58 D0 D0 C73 S20 C85 D0,"RandomDestroyStation, DeterministicBestRepairStation, TimeBasedDestroyCustomer, GreedyRepairCustomer",10162.38381,10153.08379,9.300017739,Little,2
294,D0 C21 C25 D0 D0 C26 S11 C50 D0 D0 C81 S1 C85 C91 C90 D0 D0 C9 C6 C2 S3 D0 D0 C18 C15 C16 S7 D0 D0 C100 S3 D0 D0 C24 C39 S12 C32 D0 D0 C94 S4 C97 D0 D0 C65 C61 S16 C58 D0 D0 C73 C82 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ZoneDestroyCustomer, GreedyRepairCustomer",12426.10394,12422.90244,3.201498489,Little,2
403,D0 C65 C61 C58 S14 C50 S11 D0 D0 C81 C73 S20 C82 C85 C91 C90 D0 D0 C18 C15 C16 S7 D0 D0 C9 C6 C2 D0 D0 C26 S7 D0 D0 C100 C97 S3 D0 D0 C21 C25 C39 S12 C32 C24 D0 D0 C94 S4 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, WorstTimeDestroyCustomer, GreedyRepairCustomer",11637.60228,10413.55612,1224.046158,Lot,4
423,D0 C65 C61 C58 S11 C50 D0 D0 C81 C73 S20 C82 C85 C91 C90 D0 D0 C18 C15 C16 S7 D0 D0 C9 C6 D0 D0 C21 C26 S7 D0 D0 C2 C100 C97 S3 D0 D0 C25 C39 S12 C32 C24 D0 D0 C94 S4 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, ShawDestroyCustomer, GreedyRepairCustomer",10408.80265,10408.7356,0.067047964,Zero,1
443,D0 C61 C58 S11 C50 D0 D0 C65 C81 C73 S1 C82 C85 C91 C90 D0 D0 C18 C15 C16 S7 D0 D0 C6 C9 D0 D0 C26 S7 D0 D0 C2 C100 C97 S3 D0 D0 C21 C25 C39 S12 C32 C24 D0 D0 C94 S4 D0,"RandomDestroyStation, DeterministicBestRepairStation, TimeBasedDestroyCustomer, GreedyRepairCustomer",10409.50059,10409.47308,0.027510351,Zero,1
498,D0 C61 D0 D0 C50 D0 D0 C25 S11 D0 D0 C90 C91 C85 C82 C81 S20 C73 S20 D0 D0 C21 C26 C18 C15 C16 S7 D0 D0 C6 C2 D0 D0 C9 S3 D0 D0 C24 C39 S12 C32 D0 D0 C94 S4 C97 C100 D0 D0 C65 C58 S16 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, ZoneDestroyCustomer, GreedyRepairCustomer",12907.54018,12903.67926,3.860924342,Little,2
